arm,layer,cluster,dim,relation,kind,n
RN_COMM_OFF,LTB,0,dim_1,contradict,depth2_recent_search,41
RN_COMM_OFF,LTB,0,dim_1,contradict,news,150
RN_COMM_OFF,LTB,0,dim_1,support,depth2_recent_search,2
RN_COMM_OFF,LTB,0,dim_1,support,news,163
RN_COMM_OFF,LTB,0,dim_2,contradict,depth2_recent_search,40
RN_COMM_OFF,LTB,0,dim_2,contradict,news,125
RN_COMM_OFF,LTB,0,dim_2,support,depth2_recent_search,62
RN_COMM_OFF,LTB,0,dim_2,support,news,176
RN_COMM_OFF,LTB,0,dim_3,contradict,depth2_recent_search,42
RN_COMM_OFF,LTB,0,dim_3,contradict,news,111
RN_COMM_OFF,LTB,0,dim_3,support,depth2_recent_search,100
RN_COMM_OFF,LTB,0,dim_3,support,news,361
RN_COMM_OFF,LTB,0,dim_4,contradict,news,122
RN_COMM_OFF,LTB,0,dim_4,support,news,231
RN_COMM_OFF,LTB,0,dim_5,contradict,depth2_recent_search,13
RN_COMM_OFF,LTB,0,dim_5,contradict,news,64
RN_COMM_OFF,LTB,0,dim_5,support,depth2_recent_search,24
RN_COMM_OFF,LTB,0,dim_5,support,news,372
RN_COMM_OFF,LTB,0,dim_6,contradict,depth2_recent_search,5
RN_COMM_OFF,LTB,0,dim_6,contradict,news,13
RN_COMM_OFF,LTB,0,dim_6,support,news,1
RN_COMM_OFF,LTB,1,dim_1,contradict,depth2_recent_search,2
RN_COMM_OFF,LTB,1,dim_1,contradict,news,6
RN_COMM_OFF,LTB,1,dim_1,support,depth2_recent_search,56
RN_COMM_OFF,LTB,1,dim_1,support,news,1029
RN_COMM_OFF,LTB,1,dim_2,contradict,news,28
RN_COMM_OFF,LTB,1,dim_2,support,depth2_recent_search,14
RN_COMM_OFF,LTB,1,dim_2,support,news,117
RN_COMM_OFF,LTB,1,dim_3,contradict,depth2_recent_search,1
RN_COMM_OFF,LTB,1,dim_3,contradict,news,22
RN_COMM_OFF,LTB,1,dim_3,support,depth2_recent_search,16
RN_COMM_OFF,LTB,1,dim_3,support,news,394
RN_COMM_OFF,LTB,1,dim_4,contradict,depth2_recent_search,3
RN_COMM_OFF,LTB,1,dim_4,contradict,news,25
RN_COMM_OFF,LTB,1,dim_4,support,depth2_recent_search,80
RN_COMM_OFF,LTB,1,dim_4,support,news,1736
RN_COMM_OFF,LTB,1,dim_5,contradict,news,3
RN_COMM_OFF,LTB,1,dim_5,support,depth2_recent_search,39
RN_COMM_OFF,LTB,1,dim_5,support,news,912
RN_COMM_OFF,LTB,1,dim_6,support,news,7
RN_COMM_OFF,LTB,2,dim_1,contradict,depth2_recent_search,39
RN_COMM_OFF,LTB,2,dim_1,contradict,news,329
RN_COMM_OFF,LTB,2,dim_1,support,depth2_recent_search,66
RN_COMM_OFF,LTB,2,dim_1,support,news,411
RN_COMM_OFF,LTB,2,dim_2,contradict,depth2_recent_search,17
RN_COMM_OFF,LTB,2,dim_2,contradict,news,53
RN_COMM_OFF,LTB,2,dim_2,support,depth2_recent_search,66
RN_COMM_OFF,LTB,2,dim_2,support,news,257
RN_COMM_OFF,LTB,2,dim_3,contradict,depth2_recent_search,28
RN_COMM_OFF,LTB,2,dim_3,contradict,news,142
RN_COMM_OFF,LTB,2,dim_3,support,depth2_recent_search,60
RN_COMM_OFF,LTB,2,dim_3,support,news,358
RN_COMM_OFF,LTB,2,dim_4,contradict,depth2_recent_search,51
RN_COMM_OFF,LTB,2,dim_4,contradict,news,102
RN_COMM_OFF,LTB,2,dim_4,support,depth2_recent_search,118
RN_COMM_OFF,LTB,2,dim_4,support,news,439
RN_COMM_OFF,LTB,2,dim_5,contradict,depth2_recent_search,18
RN_COMM_OFF,LTB,2,dim_5,contradict,news,65
RN_COMM_OFF,LTB,2,dim_5,support,depth2_recent_search,78
RN_COMM_OFF,LTB,2,dim_5,support,news,398
RN_COMM_OFF,LTB,2,dim_6,contradict,news,4
RN_COMM_OFF,LTB,2,dim_6,support,news,2
RN_COMM_OFF,LTB,3,dim_1,contradict,news,114
RN_COMM_OFF,LTB,3,dim_1,support,depth2_recent_search,19
RN_COMM_OFF,LTB,3,dim_1,support,news,620
RN_COMM_OFF,LTB,3,dim_2,contradict,news,64
RN_COMM_OFF,LTB,3,dim_2,support,depth2_recent_search,48
RN_COMM_OFF,LTB,3,dim_2,support,news,483
RN_COMM_OFF,LTB,3,dim_3,contradict,depth2_recent_search,1
RN_COMM_OFF,LTB,3,dim_3,contradict,news,151
RN_COMM_OFF,LTB,3,dim_3,support,depth2_recent_search,11
RN_COMM_OFF,LTB,3,dim_3,support,news,308
RN_COMM_OFF,LTB,3,dim_4,contradict,depth2_recent_search,1
RN_COMM_OFF,LTB,3,dim_4,contradict,news,27
RN_COMM_OFF,LTB,3,dim_4,support,depth2_recent_search,2
RN_COMM_OFF,LTB,3,dim_4,support,news,431
RN_COMM_OFF,LTB,3,dim_5,contradict,news,96
RN_COMM_OFF,LTB,3,dim_5,support,depth2_recent_search,24
RN_COMM_OFF,LTB,3,dim_5,support,news,898
RN_COMM_OFF,LTB,3,dim_6,contradict,news,4
RN_COMM_OFF,LTB,4,dim_1,contradict,depth2_recent_search,2
RN_COMM_OFF,LTB,4,dim_1,contradict,news,212
RN_COMM_OFF,LTB,4,dim_1,support,depth2_recent_search,104
RN_COMM_OFF,LTB,4,dim_1,support,news,1499
RN_COMM_OFF,LTB,4,dim_2,contradict,depth2_recent_search,2
