arm,layer,dim,n_total,n_community,community_share
RN_COMM_OFF,LTB,dim_1,21857,0.0,0.0
RN_COMM_OFF,LTB,dim_2,8507,0.0,0.0
RN_COMM_OFF,LTB,dim_3,20068,0.0,0.0
RN_COMM_OFF,LTB,dim_4,18561,0.0,0.0
RN_COMM_OFF,LTB,dim_5,17490,0.0,0.0
RN_COMM_OFF,LTB,dim_6,25860,0.0,0.0
RN_COMM_OFF,STB,dim_1,21859,0.0,0.0
RN_COMM_OFF,STB,dim_2,8507,0.0,0.0
RN_COMM_OFF,STB,dim_3,20073,0.0,0.0
RN_COMM_OFF,STB,dim_4,18561,0.0,0.0
RN_COMM_OFF,STB,dim_5,17490,0.0,0.0
RN_COMM_OFF,STB,dim_6,165,0.0,0.0
RN_COMM_ON,LTB,dim_1,25167,5528.0,0.2196527198315254
RN_COMM_ON,LTB,dim_2,11390,4890.0,0.4293239683933275
RN_COMM_ON,LTB,dim_3,20636,859.0,0.04162628416359759
RN_COMM_ON,LTB,dim_4,21701,9513.0,0.438366895534768
RN_COMM_ON,LTB,dim_5,18880,3639.0,0.19274364406779662
RN_COMM_ON,LTB,dim_6,25902,33.0,0.0012740328932128793
RN_COMM_ON,STB,dim_1,25174,5528.0,0.21959164217049337
RN_COMM_ON,STB,dim_2,11394,4890.0,0.4291732490784623
RN_COMM_ON,STB,dim_3,20644,859.0,0.04161015307111025
RN_COMM_ON,STB,dim_4,21706,9513.0,0.43826591725790104
RN_COMM_ON,STB,dim_5,18885,3639.0,0.1926926131850675
RN_COMM_ON,STB,dim_6,202,33.0,0.16336633663366337
