agent_id,gender,age_group,initial_cash_krw,strategy,news_depth,user_type,disposition_effect,lottery_preference
A001,female,20대,100000000,value,1,ordinary,low,low
A002,female,20대,100000000,value,0,ordinary,low,low
A003,male,20대,100000000,value,1,ordinary,low,low
A004,male,20대,100000000,technical,1,ordinary,high,medium
A005,female,20대,100000000,value,1,ordinary,medium,low
A006,male,20대,100000000,technical,1,ordinary,high,low
A007,female,20대,100000000,value,2,big_influencer,medium,low
A008,female,20대,100000000,technical,1,ordinary,low,high
A009,male,20대,100000000,technical,0,ordinary,low,medium
A010,female,30대,100000000,value,1,ordinary,low,low
A011,male,30대,100000000,value,1,ordinary,low,high
A012,male,30대,100000000,technical,1,ordinary,high,low
A013,male,30대,100000000,technical,1,ordinary,high,high
A014,female,30대,100000000,technical,1,ordinary,low,low
A015,female,30대,100000000,value,2,ordinary,medium,low
A016,female,30대,100000000,value,0,ordinary,medium,low
A017,female,30대,100000000,technical,2,ordinary,medium,low
A018,male,30대,100000000,technical,0,ordinary,high,high
A019,male,30대,100000000,value,1,ordinary,high,low
A020,male,30대,100000000,technical,2,ordinary,medium,high
A021,female,30대,100000000,technical,0,ordinary,medium,low
A022,female,30대,100000000,value,1,ordinary,low,low
A023,female,30대,100000000,value,0,ordinary,medium,low
A024,female,30대,100000000,technical,0,ordinary,low,high
A025,female,30대,100000000,technical,1,small_influencer,high,low
A026,female,30대,100000000,value,1,ordinary,low,low
A027,female,30대,100000000,technical,1,ordinary,low,medium
A028,male,40대,100000000,technical,0,small_influencer,medium,high
A029,male,40대,100000000,technical,0,ordinary,high,high
A030,male,40대,100000000,value,0,ordinary,medium,low
