condition,run_id,agent_id,turn_rows,blank_belief_rows,blank_belief_rate
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A001,126,27,0.2143
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A002,126,22,0.1746
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A003,126,34,0.2698
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A004,126,16,0.127
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A005,126,27,0.2143
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A006,126,16,0.127
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A007,126,32,0.254
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A008,126,30,0.2381
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A009,126,30,0.2381
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A010,126,24,0.1905
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A011,126,26,0.2063
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A012,126,25,0.1984
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A013,126,21,0.1667
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A014,126,33,0.2619
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A015,126,29,0.2302
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A016,126,23,0.1825
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A017,126,20,0.1587
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A018,126,25,0.1984
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A019,126,18,0.1429
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A020,126,27,0.2143
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A021,126,29,0.2302
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A022,126,27,0.2143
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A023,126,25,0.1984
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A024,126,31,0.246
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A025,126,28,0.2222
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A026,126,21,0.1667
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A027,126,27,0.2143
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A028,126,18,0.1429
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A029,126,28,0.2222
C00,simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601,A030,126,26,0.2063
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A001,126,26,0.2063
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A002,126,23,0.1825
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A003,126,26,0.2063
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A004,126,24,0.1905
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A005,126,36,0.2857
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A006,126,17,0.1349
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A007,126,22,0.1746
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A008,126,21,0.1667
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A009,126,26,0.2063
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A010,126,19,0.1508
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A011,126,20,0.1587
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A012,126,17,0.1349
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A013,126,23,0.1825
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A014,126,22,0.1746
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A015,126,32,0.254
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A016,126,32,0.254
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A017,126,39,0.3095
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A018,126,23,0.1825
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A019,126,23,0.1825
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A020,126,17,0.1349
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A021,126,29,0.2302
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A022,126,28,0.2222
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A023,126,29,0.2302
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A024,126,40,0.3175
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A025,126,19,0.1508
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A026,126,20,0.1587
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A027,126,24,0.1905
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A028,126,19,0.1508
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A029,126,26,0.2063
C01,simulation_20260715_30agents_commoff_fakenews_bearish,A030,126,23,0.1825
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A001,126,21,0.1667
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A002,126,26,0.2063
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A003,126,24,0.1905
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A004,126,17,0.1349
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A005,126,25,0.1984
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A006,126,14,0.1111
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A007,126,33,0.2619
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A008,126,24,0.1905
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A009,126,20,0.1587
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A010,126,20,0.1587
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A011,126,25,0.1984
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A012,126,26,0.2063
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A013,126,20,0.1587
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A014,126,25,0.1984
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A015,126,27,0.2143
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A016,126,26,0.2063
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A017,126,27,0.2143
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A018,126,26,0.2063
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A019,126,18,0.1429
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A020,126,27,0.2143
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A021,126,29,0.2302
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A022,126,29,0.2302
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A023,126,24,0.1905
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A024,126,38,0.3016
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A025,126,20,0.1587
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A026,126,33,0.2619
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A027,126,30,0.2381
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A028,126,20,0.1587
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A029,126,17,0.1349
C02,simulation_20260715_community_off_fake_on_bullish_30_20260227_20260601,A030,126,19,0.1508
C10,simulation_checkpointed_20260715_000747_261881,A001,126,30,0.2381
C10,simulation_checkpointed_20260715_000747_261881,A002,126,27,0.2143
C10,simulation_checkpointed_20260715_000747_261881,A003,126,22,0.1746
C10,simulation_checkpointed_20260715_000747_261881,A004,126,26,0.2063
C10,simulation_checkpointed_20260715_000747_261881,A005,126,19,0.1508
C10,simulation_checkpointed_20260715_000747_261881,A006,126,22,0.1746
C10,simulation_checkpointed_20260715_000747_261881,A007,128,29,0.2266
C10,simulation_checkpointed_20260715_000747_261881,A008,126,26,0.2063
C10,simulation_checkpointed_20260715_000747_261881,A009,126,28,0.2222
C10,simulation_checkpointed_20260715_000747_261881,A010,126,14,0.1111
C10,simulation_checkpointed_20260715_000747_261881,A011,126,29,0.2302
C10,simulation_checkpointed_20260715_000747_261881,A012,126,16,0.127
C10,simulation_checkpointed_20260715_000747_261881,A013,126,13,0.1032
C10,simulation_checkpointed_20260715_000747_261881,A014,126,22,0.1746
C10,simulation_checkpointed_20260715_000747_261881,A015,126,36,0.2857
C10,simulation_checkpointed_20260715_000747_261881,A016,126,26,0.2063
C10,simulation_checkpointed_20260715_000747_261881,A017,126,30,0.2381
C10,simulation_checkpointed_20260715_000747_261881,A018,126,25,0.1984
C10,simulation_checkpointed_20260715_000747_261881,A019,126,18,0.1429
C10,simulation_checkpointed_20260715_000747_261881,A020,126,16,0.127
C10,simulation_checkpointed_20260715_000747_261881,A021,126,29,0.2302
C10,simulation_checkpointed_20260715_000747_261881,A022,126,22,0.1746
C10,simulation_checkpointed_20260715_000747_261881,A023,126,27,0.2143
C10,simulation_checkpointed_20260715_000747_261881,A024,126,31,0.246
C10,simulation_checkpointed_20260715_000747_261881,A025,126,14,0.1111
C10,simulation_checkpointed_20260715_000747_261881,A026,126,28,0.2222
C10,simulation_checkpointed_20260715_000747_261881,A027,126,26,0.2063
C10,simulation_checkpointed_20260715_000747_261881,A028,126,29,0.2302
C10,simulation_checkpointed_20260715_000747_261881,A029,126,18,0.1429
C10,simulation_checkpointed_20260715_000747_261881,A030,126,17,0.1349
C11,simulation_20260715_bearish_30_20260227_20260601,A001,126,14,0.1111
C11,simulation_20260715_bearish_30_20260227_20260601,A002,126,26,0.2063
C11,simulation_20260715_bearish_30_20260227_20260601,A003,126,23,0.1825
C11,simulation_20260715_bearish_30_20260227_20260601,A004,126,18,0.1429
C11,simulation_20260715_bearish_30_20260227_20260601,A005,126,26,0.2063
C11,simulation_20260715_bearish_30_20260227_20260601,A006,126,11,0.0873
C11,simulation_20260715_bearish_30_20260227_20260601,A007,125,30,0.24
C11,simulation_20260715_bearish_30_20260227_20260601,A008,126,19,0.1508
C11,simulation_20260715_bearish_30_20260227_20260601,A009,126,29,0.2302
C11,simulation_20260715_bearish_30_20260227_20260601,A010,125,24,0.192
