condition,persona_field,persona_value,agent_count,decision_rows,buy_orders,sell_orders,buy_share,sell_share,one_share_rate,blank_belief_rows,blank_belief_rate
C00,age_group,20대,9,1134,700,434,0.6173,0.3827,0.0265,234,0.2063
C00,age_group,30대,18,2268,1491,777,0.6574,0.3426,0.0287,459,0.2024
C00,age_group,40대,3,378,264,114,0.6984,0.3016,0.0794,72,0.1905
C00,gender,female,17,2142,1345,797,0.6279,0.3721,0.0303,455,0.2124
C00,gender,male,13,1638,1110,528,0.6777,0.3223,0.0366,310,0.1893
C00,initial_cash_krw,100000000,30,3780,2455,1325,0.6495,0.3505,0.0331,765,0.2024
C00,news_depth,0,10,1260,828,432,0.6571,0.3429,0.0468,257,0.204
C00,news_depth,1,16,2016,1330,686,0.6597,0.3403,0.0263,400,0.1984
C00,news_depth,2,4,504,297,207,0.5893,0.4107,0.0258,108,0.2143
C00,strategy,technical,16,2016,1356,660,0.6726,0.3274,0.0283,404,0.2004
C00,strategy,value,14,1764,1099,665,0.623,0.377,0.0385,361,0.2046
C00,user_type,big_influencer,1,126,60,66,0.4762,0.5238,0.0317,32,0.254
C00,user_type,ordinary,27,3402,2214,1188,0.6508,0.3492,0.0323,687,0.2019
C00,user_type,small_influencer,2,252,181,71,0.7183,0.2817,0.0437,46,0.1825
