phase,skip_initial_days,days,direction_match_rate,buy_recall,sell_recall,balanced_accuracy,predicted_buy_days,predicted_sell_days,actual_buy_days,actual_sell_days,pearson,pearson_p_naive,spearman,spearman_p_naive
AM only,0,45,0.5333333333333333,0.4642857142857143,0.6470588235294118,0.555672268907563,19,26,28,17,0.3692606867234999,0.012549933765793662,0.18484848484848485,0.22413107841583013
AM only,1,44,0.5227272727272727,0.4444444444444444,0.6470588235294118,0.5457516339869282,18,26,27,17,0.04212325619401747,0.7860136705080689,0.12797744890768145,0.40773850666044165
AM only,3,42,0.5238095238095238,0.44,0.6470588235294118,0.5435294117647059,17,25,25,17,-0.1548318289523395,0.3275485153477521,0.06733652054128515,0.6717828976694724
AM only,5,40,0.5,0.391304347826087,0.6470588235294118,0.5191815856777494,15,25,23,17,-0.2504560287596025,0.11905452782854474,-0.021763602251407135,0.8939592566534622
AM only,10,35,0.5142857142857142,0.3684210526315789,0.6875,0.5279605263157895,12,23,19,16,-0.076047705329849,0.664147061225686,0.057703081232493,0.7419647128381073
PM only,0,45,0.6,0.6071428571428571,0.5882352941176471,0.5976890756302521,24,21,28,17,0.4149172902357319,0.004596800543349721,0.34558629776021077,0.020062578588592117
PM only,1,44,0.5909090909090909,0.5925925925925926,0.5882352941176471,0.5904139433551199,23,21,27,17,0.3572310608536797,0.017287928269730288,0.3085271317829457,0.041587117756265835
PM only,3,42,0.5952380952380952,0.6,0.5882352941176471,0.5941176470588235,22,20,25,17,0.28569622616315427,0.06664165728220803,0.27963698241633583,0.07288755213261686
PM only,5,40,0.6,0.6086956521739131,0.5882352941176471,0.5984654731457801,21,19,23,17,0.28433620120348,0.07537399532253086,0.27523452157598505,0.08563029036115598
PM only,10,35,0.6,0.5789473684210527,0.625,0.6019736842105263,17,18,19,16,0.17539341889571355,0.31355199006821144,0.18515406162464987,0.28694571406071034
AM+PM,0,45,0.6,0.5714285714285714,0.6470588235294118,0.6092436974789917,22,23,28,17,0.5031289728157168,0.00042724041271422706,0.2134387351778656,0.1591956626800869
AM+PM,1,44,0.5909090909090909,0.5555555555555556,0.6470588235294118,0.6013071895424837,21,23,27,17,0.2993877553844227,0.04834906310986653,0.15856236786469344,0.3039374051959608
AM+PM,3,42,0.5952380952380952,0.56,0.6470588235294118,0.6035294117647059,20,22,25,17,0.10398180482698224,0.5122601923866253,0.11238959565675391,0.4785499263046815
AM+PM,5,40,0.575,0.5217391304347826,0.6470588235294118,0.5843989769820972,18,22,23,17,0.01796065619183776,0.9124094656234013,0.04559099437148219,0.7799803409627333
AM+PM,10,35,0.5714285714285714,0.47368421052631576,0.6875,0.5805921052631579,14,21,19,16,0.12047997309653313,0.4905709621946846,0.13193277310924373,0.4499551018932053
