chunk,agent_turn_rows,date_min,date_max,turn_min,turn_max,first_am_rows,first_am_initial_portfolio_rows,first_am_buy_orders
chunk_001_2026-02-27_2026-03-06,300,2026-02-27,2026-03-06,1,10,30,30,30
chunk_002_2026-03-09_2026-03-13,300,2026-03-09,2026-03-13,1,10,30,30,30
chunk_003_2026-03-16_2026-03-20,300,2026-03-16,2026-03-20,1,10,30,30,30
chunk_004_2026-03-23_2026-03-27,300,2026-03-23,2026-03-27,1,10,30,30,30
chunk_005_2026-03-30_2026-04-03,300,2026-03-30,2026-04-03,1,10,30,30,30
chunk_006_2026-04-06_2026-04-10,300,2026-04-06,2026-04-10,1,10,30,30,30
chunk_007_2026-04-13_2026-04-17,300,2026-04-13,2026-04-17,1,10,30,30,30
chunk_008_2026-04-20_2026-04-24,300,2026-04-20,2026-04-24,1,10,30,30,30
chunk_009_2026-04-27_2026-05-04,300,2026-04-27,2026-05-04,1,10,30,30,30
chunk_010_2026-05-06_2026-05-12,300,2026-05-06,2026-05-12,1,10,30,30,30
chunk_011_2026-05-13_2026-05-19,300,2026-05-13,2026-05-19,1,10,30,30,30
chunk_012_2026-05-20_2026-05-27,300,2026-05-20,2026-05-27,1,10,30,30,30
chunk_013_2026-05-28_2026-06-01,180,2026-05-28,2026-06-01,1,6,30,30,30
