surface,scope,path,category,grain,interpretation_use,bytes,line_count
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",3260685,3781
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",73659808,3780
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoint.json,checkpoint,chunk,resume state; not a behavioral outcome,322,19
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_001.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_001.db-shm,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,32768,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_001.db-wal,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,0,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_002.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_002.db-shm,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,32768,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_002.db-wal,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,0,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_003.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_003.db-shm,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,32768,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_003.db-wal,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,0,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_004.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_004.db-shm,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,32768,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_004.db-wal,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,0,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_005.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_006.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_007.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_008.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_009.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_010.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_011.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_012.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,root,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/checkpoints/before_chunk_013.db,runtime/checkpoint state,internal,recovery artifact; inspect only for integrity diagnosis,20299776,
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",267872,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5868420,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",267839,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",952,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25417,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",191150,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_001_2026-02-27_2026-03-06/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,114335,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",265638,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5845702,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",266927,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",953,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25488,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",188664,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_002_2026-03-09_2026-03-13/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,113254,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",258247,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5863950,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",264398,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",953,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25508,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",190551,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_003_2026-03-16_2026-03-20/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,110693,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",263220,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5849080,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",266080,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",954,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25498,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",185849,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_004_2026-03-23_2026-03-27/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,112406,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",258156,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5835544,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",265532,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",954,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25543,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",190877,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_005_2026-03-30_2026-04-03/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,111750,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",254837,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5758882,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",264958,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",952,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25466,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",191339,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
