agent_id,disposition_category,risk_category,gain_turns,loss_turns,sell_rate_on_gain,sell_rate_on_loss,disposition_gap,mean_order_intensity
A001,low,low,58,25,0.5,0.24,0.26,0.5154844279151457
A002,low,low,36,45,0.7222222222222222,0.4,0.3222222222222222,0.47993061566800244
A003,low,low,59,15,0.3050847457627119,0.13333333333333333,0.17175141242937855,0.6967956225564431
A004,high,medium,56,30,0.6428571428571429,0.23333333333333334,0.40952380952380957,0.49271206965195974
A005,medium,low,30,42,0.4666666666666667,0.11904761904761904,0.3476190476190476,0.6639441128896988
A006,high,low,61,23,0.639344262295082,0.30434782608695654,0.33499643620812547,0.48545412563375606
A007,medium,low,58,23,0.7413793103448276,0.6086956521739131,0.13268365817091454,0.3946579664651471
A008,low,high,54,19,0.24074074074074073,0.3157894736842105,-0.07504873294346978,0.7964608681577244
A009,low,medium,63,17,0.38095238095238093,0.7058823529411765,-0.3249299719887956,0.5676614261410794
A010,low,low,42,33,0.5,0.09090909090909091,0.40909090909090906,0.6771675318995508
A011,low,high,59,15,0.2542372881355932,0.0,0.2542372881355932,0.7975225668402823
A012,high,low,31,47,0.6129032258064516,0.14893617021276595,0.4639670555936857,0.6099112992980614
A013,high,high,48,34,0.375,0.17647058823529413,0.19852941176470587,0.7071046918379547
A014,low,low,56,24,0.4642857142857143,0.5833333333333334,-0.11904761904761907,0.5324324616484348
A015,medium,low,37,44,0.7837837837837838,0.29545454545454547,0.4883292383292383,0.5121166280776395
A016,medium,low,43,39,0.9302325581395349,0.2564102564102564,0.6738223017292785,0.4250902394699864
A017,medium,low,55,33,0.5818181818181818,0.6060606060606061,-0.024242424242424288,0.3280880832831674
A018,high,high,46,37,0.6304347826086957,0.21621621621621623,0.41421856639247945,0.5624153407635645
A019,high,low,38,40,0.8157894736842105,0.1,0.7157894736842105,0.5954556654751559
A020,medium,high,49,34,0.4897959183673469,0.20588235294117646,0.28391356542617047,0.6101076283536936
A021,medium,low,35,51,0.5428571428571428,0.47058823529411764,0.07226890756302518,0.3778592305525596
A022,low,low,37,45,0.7837837837837838,0.2,0.5837837837837838,0.48047075405604933
A023,medium,low,45,34,0.5333333333333333,0.08823529411764706,0.44509803921568625,0.5905140737726955
A024,low,high,33,41,0.15151515151515152,0.1951219512195122,-0.04360679970436068,0.817764262240518
A025,high,low,42,43,0.8095238095238095,0.18604651162790697,0.6234772978959026,0.4977937088760985
A026,low,low,33,41,0.5757575757575758,0.0975609756097561,0.47819660014781973,0.6397841139866223
A027,low,medium,56,19,0.39285714285714285,0.47368421052631576,-0.08082706766917291,0.6700219429304073
A028,medium,high,59,20,0.3898305084745763,0.15,0.2398305084745763,0.6609877302584415
A029,high,high,47,36,0.46808510638297873,0.1111111111111111,0.35697399527186763,0.6944638845612661
A030,medium,low,38,41,0.8157894736842105,0.34146341463414637,0.47432605905006414,0.40485333862704154
