persona_axis,persona_value,agent_count,turn_rows,buy_share,one_share_rate,decision_retry_rate,days,direction_match_rate,buy_recall,sell_recall,balanced_accuracy,predicted_buy_days,predicted_sell_days,actual_buy_days,actual_sell_days,pearson,pearson_p_naive,spearman,spearman_p_naive
strategy,technical,16,1440,0.5763888888888888,0.1798611111111111,0.07708333333333334,45,0.5555555555555556,0.6071428571428571,0.47058823529411764,0.5388655462184874,26,19,28,17,0.40960517515293926,0.0052037190587477045,0.08893280632411066,0.5612777813387648
strategy,value,14,1260,0.5388888888888889,0.2619047619047619,0.07777777777777778,45,0.5777777777777777,0.5714285714285714,0.5882352941176471,0.5798319327731092,23,22,28,17,0.5757462875888503,3.5045629104686e-05,0.408300395256917,0.005363060512993112
news_depth,0,10,900,0.5522222222222222,0.20444444444444446,0.09777777777777778,45,0.4888888888888889,0.4642857142857143,0.5294117647058824,0.49684873949579833,21,24,28,17,0.5016151711351312,0.0004475047439394982,0.19749670619235835,0.19345750898394753
news_depth,1,16,1440,0.5861111111111111,0.25069444444444444,0.06944444444444445,45,0.6,0.5714285714285714,0.6470588235294118,0.6092436974789917,22,23,28,17,0.4810431020902618,0.0008227753737505559,0.22055335968379444,0.14542588056901723
news_depth,2,4,360,0.4666666666666667,0.12222222222222222,0.058333333333333334,45,0.5333333333333333,0.5,0.5882352941176471,0.5441176470588236,21,24,28,17,0.4398987617374459,0.002496963736004147,0.20711462450592882,0.1722137249819684
age_group,20대,9,810,0.5518518518518518,0.16913580246913582,0.0691358024691358,45,0.6222222222222222,0.6071428571428571,0.6470588235294118,0.6271008403361344,23,22,28,17,0.36416835327404307,0.01392196590846202,0.07220026350461133,0.6374116717792482
age_group,30대,18,1620,0.5580246913580247,0.24938271604938272,0.07777777777777778,45,0.5777777777777777,0.5357142857142857,0.6470588235294118,0.5913865546218487,21,24,28,17,0.5506891929349607,8.868579648828553e-05,0.3275362318840579,0.028068310008216177
age_group,40대,3,270,0.5851851851851851,0.17777777777777778,0.1,45,0.6,0.6071428571428571,0.5882352941176471,0.5976890756302521,24,21,28,17,0.41168714288523955,0.004958004121902757,0.2571805006587615,0.088102849864812
gender,female,17,1530,0.5352941176470588,0.22941176470588234,0.07712418300653595,45,0.5111111111111111,0.5,0.5294117647058824,0.5147058823529411,22,23,28,17,0.4822990593962444,0.0007936034970083988,0.13583662714097497,0.3736207439319378
gender,male,13,1170,0.5897435897435898,0.20341880341880342,0.07777777777777778,45,0.6222222222222222,0.6071428571428571,0.6470588235294118,0.6271008403361344,23,22,28,17,0.4873855832540682,0.000684693738209828,0.26653491436100124,0.07675584564288156
user_type,big_influencer,1,90,0.36666666666666664,0.0,0.06666666666666667,45,0.5111111111111111,0.42857142857142855,0.6470588235294118,0.5378151260504201,18,26,28,17,0.3012634127087205,0.0443193552609352,0.2544220825518042,0.09168646830435595
user_type,ordinary,27,2430,0.565843621399177,0.22757201646090536,0.07613168724279835,45,0.5555555555555556,0.5714285714285714,0.5294117647058824,0.5504201680672269,24,21,28,17,0.4894736711931758,0.000644008519527305,0.19749670619235835,0.19345750898394753
user_type,small_influencer,2,180,0.5611111111111111,0.2,0.1,45,0.6,0.6428571428571429,0.5294117647058824,0.5861344537815126,26,19,28,17,0.4721916971064527,0.0010570563911103032,0.32938076416337286,0.027144306270472814
