id,title,date,time,category
news_20250102_섹터_0034,김진태 강원지사 “미래산업 육성·민생경제 안정화”,2025-01-02,15:55,섹터
news_20250102_섹터_0035,"LG이노텍, 창립 55주년 맞아 새 비전…“신뢰받는 기술파트너 되자”",2025-01-02,15:55,섹터
news_20250102_종목_0041,"기업이 멈추지 않는 한, 돌파 못할 위기는 없다",2025-01-02,15:59,종목
news_20250102_종목_0043,"""모니터에도 AI 기능 탑재"" 삼성, 신제품 CES서 공개",2025-01-02,17:43,종목
news_20250102_경제_0012,"""崔, 헌법재판관 임명은 경제 고려한 결단""",2025-01-02,17:48,경제
news_20250102_경제_0013,설 앞두고 농산물값↑ 성수품 물가잡기 총력,2025-01-02,17:48,경제
news_20250102_종목_0044,삼성전자 를 어쩌나 … 실적발표 앞두고 목표가 줄하향,2025-01-02,17:48,종목
news_20250102_종목_0046,숨 가쁜 사업 조정…방어적인 ‘스몰딜’ 대세,2025-01-02,21:00,종목
news_20250102_종목_0047,“우리에겐 네가 있어 다행이야”... 을·사·7·友,2025-01-02,21:00,종목
news_20250103_섹터_0017,실적 발표 코앞인데 “목표주가 내릴게요”… 삼성전자 어쩌나,2025-01-03,06:53,섹터
news_20250103_섹터_0020,"특징주, 리튬포어스-리튬 테마 상승세에 5.12% ↑",2025-01-03,09:27,섹터
news_20250103_섹터_0021,"특징주, 이녹스-2차전지(소재/부품) 테마 상승세에 0.88% ↑",2025-01-03,09:27,섹터
news_20250103_섹터_0023,"특징주, 티이엠씨씨엔에스-2차전지 테마 상승세에 2.16% ↑",2025-01-03,09:27,섹터
news_20250103_경제_0005,"[단독] 농협銀 둔촌주공 2천억 추가 실행, 우리도 1천억 더해…잔금대출 숨통 트이나",2025-01-03,11:03,경제
news_20250103_섹터_0025,"[MK시그널] 이오테크닉스, 미 반도체 훈풍에 주가 상승세... MK시그널 추천 후 상승률 16.33% 기록",2025-01-03,11:04,섹터
news_20250103_섹터_0026,이제는 주워볼 때···초고수 우량주 줍줍[주식 초고수는 지금],2025-01-03,11:08,섹터
news_20250103_경제_0006,"정진완 새 우리은행장, 소상공인·중소기업부터 살펴",2025-01-03,11:39,경제
news_20250103_경제_0007,“먹거리 화장품 이곳에선 초저가”…편의점 업계 PB상품 더 늘린다,2025-01-03,12:53,경제
news_20250103_경제_0010,글로벌 강달러 지속에…1470원대 초중반 중심 등락 전망,2025-01-03,13:43,경제
news_20250103_경제_0011,“연초 주담대 받기 쉬워질까”…보험사도 대출 제한 분위기였지만 신규 접수 재개,2025-01-03,14:29,경제
news_20250103_경제_0012,강태영 농협은행장 “믿고 거래할 수 있게…금융사고 제로화”,2025-01-03,15:31,경제
news_20250103_섹터_0029,"“들어봤나 16층”...SK하이닉스, CES서 업계 최고층 HBM 3E 선보인다",2025-01-03,15:40,섹터
news_20250103_섹터_0031,"다가온 CES에 초고수들 원픽은 반도체 , 로봇 [주식 초고수는 지금]",2025-01-03,16:08,섹터
news_20250103_경제_0013,서울 아파트값도 상승 멈췄다...41주만에 ‘보합’ 전환,2025-01-03,16:21,경제
news_20250103_종목_0037,"올 CES도 中공세 … 하이센스·TCL, 삼성·LG 옆에 부스내며 '신경전'",2025-01-03,17:52,종목
news_20250103_종목_0038,돌아온 외국인에 기지개 켠 K증시…한파 이겨낼까,2025-01-03,17:54,종목
news_20250103_종목_0039,"삼성, 3차원 오디오 끝판왕 TV 선보인다",2025-01-03,18:02,종목
news_20250103_종목_0040,"""위기 극복 주체는 기업…고난을 기적으로 바꾼 DNA 있어""",2025-01-03,18:02,종목
news_20250103_경제_0016,"저신용자 중도상환수수료 하나銀, 1년 더 면제하기로",2025-01-03,19:50,경제
news_20250103_섹터_0036,"“中드론 기술 좀 거슬리는데?”…美, 안보 이유로 규제 카드 만지작",2025-01-03,22:50,섹터
news_20250106_섹터_0022,"특징주, 디아이-HBM(고대역폭메모리) 테마 상승세에 9.76% ↑",2025-01-06,09:25,섹터
news_20250106_섹터_0023,"특징주, SK하이닉스-HBM(고대역폭메모리) 테마 상승세에 1.36% ↑",2025-01-06,09:25,섹터
news_20250106_섹터_0024,"특징주, 피에스케이홀딩스-HBM(고대역폭메모리) 테마 상승세에 3.12% ↑",2025-01-06,09:25,섹터
news_20250106_섹터_0031,"특징주, 하나마이크론-시스템 반도체 테마 상승세에 0.71% ↑",2025-01-06,09:26,섹터
news_20250106_섹터_0032,"특징주, 원익QnC-3D 낸드 테마 상승세에 1.08% ↑",2025-01-06,09:26,섹터
news_20250106_섹터_0033,"특징주, 제우스-HBM(고대역폭메모리) 테마 상승세에 2.35% ↑",2025-01-06,09:26,섹터
news_20250106_섹터_0035,"특징주, 테크윙-HBM(고대역폭메모리) 테마 상승세에 2.88% ↑",2025-01-06,09:26,섹터
