run_id,date,turn,rank,post_id,title,post_type,score
simulation_20260715_000826_158697_23249,2026-02-27,2,1,2463,"AI 성장성 유지, 하지만 단기 조정 우려에 대한 생각",analysis,19
simulation_20260715_000826_158697_23249,2026-02-27,2,2,2449,[매도] 삼성전자 115주 매도했습니다.,trade_share,15
simulation_20260715_000826_158697_23249,2026-02-27,2,3,2451,[매도] 삼성전자 120주 매도했습니다.,trade_share,15
simulation_20260715_000826_158697_23249,2026-02-27,2,4,2453,오늘 삼성전자 일부 매도했습니다.,trade_share,2
simulation_20260715_000826_158697_23249,2026-02-27,2,5,2448,오늘 삼성전자 추가 매수했습니다!,trade_share,0
simulation_20260715_000826_158697_23249,2026-03-03,4,1,2470,현재 삼성전자 주가와 시장 전망에 대한 생각,analysis,17
simulation_20260715_000826_158697_23249,2026-03-03,4,2,2478,"삼성전자, 20만 원 선 붕괴 이후의 기술적 상황 분석",analysis,10
simulation_20260715_000826_158697_23249,2026-03-03,4,3,2486,삼성전자 기술적 지지선 분석 및 향후 전망,analysis,9
simulation_20260715_000826_158697_23249,2026-03-03,4,4,2482,오늘 삼성전자 일부 매도했습니다.,trade_share,2
simulation_20260715_000826_158697_23249,2026-03-03,4,5,2474,삼성전자 단기 조정 가능성과 중장기 전망,analysis,2
simulation_20260715_000826_158697_23249,2026-03-04,6,1,2489,"[시장 전망] 삼성전자, 단기 조정 속에서도 내재가치는 여전하다",analysis,13
simulation_20260715_000826_158697_23249,2026-03-04,6,2,2491,"MA20 붕괴 이후의 삼성전자, 앞으로의 시장 전망은?",analysis,8
simulation_20260715_000826_158697_23249,2026-03-04,6,3,2490,"삼성전자, 단기 하락 추세와 MA20 지지선 붕괴의 의미",analysis,7
simulation_20260715_000826_158697_23249,2026-03-04,6,4,2500,지정학적 리스크 속 삼성전자의 하방 리스크와 매수 전략,analysis,4
simulation_20260715_000826_158697_23249,2026-03-04,6,5,2503,지정학적 리스크와 삼성전자의 단기 변동성 전망,analysis,1
simulation_20260715_000826_158697_23249,2026-03-05,8,1,2508,"삼성전자, 방어적 관점에서의 전략 필요성",analysis,19
simulation_20260715_000826_158697_23249,2026-03-05,8,2,2509,"삼성전자, 저평가 구간 진입과 단기 변동성 우려",analysis,17
simulation_20260715_000826_158697_23249,2026-03-05,8,3,2514,삼성전자 기술적 반등 신호와 경쟁사 분석,analysis,6
simulation_20260715_000826_158697_23249,2026-03-05,8,4,2522,삼성전자 단기 조정 가능성에 대한 생각,analysis,3
simulation_20260715_000826_158697_23249,2026-03-05,8,5,2507,오늘 삼성전자 일부 매도했습니다,trade_share,0
simulation_20260715_000826_158697_23249,2026-03-06,10,1,2545,오늘 삼성전자 매도 거래 진행했습니다!,trade_share,16
simulation_20260715_000826_158697_23249,2026-03-06,10,2,2537,오늘 삼성전자 2주 매도했습니다.,trade_share,13
simulation_20260715_000826_158697_23249,2026-03-06,10,3,2542,"삼성전자, 갤럭시 S26 호조와 메모리 슈퍼사이클의 기회",analysis,7
simulation_20260715_000826_158697_23249,2026-03-06,10,4,2527,오늘 삼성전자 매수했습니다!,trade_share,0
simulation_20260715_000826_158697_23249,2026-03-06,10,5,2529,오늘 삼성전자 7주 매수했습니다!,trade_share,0
simulation_20260715_000826_158697_23249,2026-03-09,12,1,2557,현재 삼성전자 기술적 분석 및 시장 전망,analysis,13
simulation_20260715_000826_158697_23249,2026-03-09,12,2,2560,"[시장 분석] 삼성전자, 단기 조정 신호와 펀더멘털의 균형",analysis,13
simulation_20260715_000826_158697_23249,2026-03-09,12,3,2555,"삼성전자, 노사 합의와 저평가 구간에서의 기회",analysis,10
simulation_20260715_000826_158697_23249,2026-03-09,12,4,2558,오늘 삼성전자 일부 매도했습니다.,trade_share,6
simulation_20260715_000826_158697_23249,2026-03-09,12,5,2564,오늘 삼성전자 일부 매도했습니다.,trade_share,1
simulation_20260715_000826_158697_23249,2026-03-10,14,1,2574,"삼성전자, 단기 조정 가능성 염두에 둬야 할 시점",analysis,19
simulation_20260715_000826_158697_23249,2026-03-10,14,2,2586,삼성전자 MA20 돌파 후 시장 반응에 대한 개인적인 분석,analysis,11
simulation_20260715_000826_158697_23249,2026-03-10,14,3,2575,오늘 삼성전자 매도 거래 공유합니다!,trade_share,2
simulation_20260715_000826_158697_23249,2026-03-10,14,4,2573,오늘 삼성전자 1주 매도했습니다.,trade_share,2
simulation_20260715_000826_158697_23249,2026-03-10,14,5,2576,삼성전자의 HBM4 수혜와 저평가 구간에 대한 생각,analysis,1
simulation_20260715_000826_158697_23249,2026-03-11,16,1,2588,"삼성전자, 저평가 가치는 여전하지만 단기 변동성 리스크 주의 필요",analysis,19
simulation_20260715_000826_158697_23249,2026-03-11,16,2,2590,변동성 리스크와 삼성전자의 가치: 현재 저평가 구간을 어떻게 바라봐야 할까?,analysis,17
simulation_20260715_000826_158697_23249,2026-03-11,16,3,2592,"삼성전자, 반도체 업황 회복과 리스크 관리의 중요성",analysis,13
simulation_20260715_000826_158697_23249,2026-03-11,16,4,2596,"삼성전자, 변동성 속에서도 추세 유지 - 신중한 접근 필요",analysis,1
simulation_20260715_000826_158697_23249,2026-03-11,16,5,2587,오늘 삼성전자 소량 매도했습니다.,trade_share,0
simulation_20260715_000826_158697_23249,2026-03-12,18,1,2623,삼성전자 저평가 신호와 리스크 관리의 중요성,analysis,19
simulation_20260715_000826_158697_23249,2026-03-12,18,2,2620,삼성전자 단기 전망 및 매수 전략에 대한 생각,analysis,17
