run_id,date,turn,agent_id,selected_post_ids,post_id,title,post_type,reaction,author_badges,author_profile
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A008,"[3652, 3653, 3657, 3661, 3663]",3652,삼성전자 단기 변동성 확대에 대한 생각,analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A008,"[3652, 3653, 3657, 3661, 3663]",3653,"[시장 전망] 삼성전자, 단기 변동성 속에서도 장기 성장성 믿고 보유 유지해야 할까?",analysis,read,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A008,"[3652, 3653, 3657, 3661, 3663]",3657,"오늘의 삼성전자, 리스크 관리가 우선인 시점",analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A008,"[3652, 3653, 3657, 3661, 3663]",3661,"삼성전자, 단기 변동성 우려 속 내재가치 견조함",analysis,unlike,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A008,"[3652, 3653, 3657, 3661, 3663]",3663,오늘 삼성전자 일부 매도했습니다.,trade_share,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A003,"[3652, 3653, 3655, 3657, 3661]",3652,삼성전자 단기 변동성 확대에 대한 생각,analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A003,"[3652, 3653, 3655, 3657, 3661]",3653,"[시장 전망] 삼성전자, 단기 변동성 속에서도 장기 성장성 믿고 보유 유지해야 할까?",analysis,read,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A003,"[3652, 3653, 3655, 3657, 3661]",3655,"삼성전자, MA5 지지선 확인이 관건입니다",analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A003,"[3652, 3653, 3655, 3657, 3661]",3657,"오늘의 삼성전자, 리스크 관리가 우선인 시점",analysis,unlike,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A003,"[3652, 3653, 3655, 3657, 3661]",3661,"삼성전자, 단기 변동성 우려 속 내재가치 견조함",analysis,like,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A005,"[3652, 3653, 3657, 3661, 3664]",3652,삼성전자 단기 변동성 확대에 대한 생각,analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A005,"[3652, 3653, 3657, 3661, 3664]",3653,"[시장 전망] 삼성전자, 단기 변동성 속에서도 장기 성장성 믿고 보유 유지해야 할까?",analysis,read,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A005,"[3652, 3653, 3657, 3661, 3664]",3657,"오늘의 삼성전자, 리스크 관리가 우선인 시점",analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A005,"[3652, 3653, 3657, 3661, 3664]",3661,"삼성전자, 단기 변동성 우려 속 내재가치 견조함",analysis,unlike,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A005,"[3652, 3653, 3657, 3661, 3664]",3664,오늘 삼성전자 매도 거래 공유합니다.,trade_share,read,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A006,"[3648, 3652, 3653, 3657, 3661]",3648,오늘 삼성전자 매수 거래 공유합니다!,trade_share,unlike,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A006,"[3648, 3652, 3653, 3657, 3661]",3652,삼성전자 단기 변동성 확대에 대한 생각,analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A006,"[3648, 3652, 3653, 3657, 3661]",3653,"[시장 전망] 삼성전자, 단기 변동성 속에서도 장기 성장성 믿고 보유 유지해야 할까?",analysis,like,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A006,"[3648, 3652, 3653, 3657, 3661]",3657,"오늘의 삼성전자, 리스크 관리가 우선인 시점",analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A006,"[3648, 3652, 3653, 3657, 3661]",3661,"삼성전자, 단기 변동성 우려 속 내재가치 견조함",analysis,read,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A010,"[3652, 3653, 3657, 3661, 3663]",3652,삼성전자 단기 변동성 확대에 대한 생각,analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A010,"[3652, 3653, 3657, 3661, 3663]",3653,"[시장 전망] 삼성전자, 단기 변동성 속에서도 장기 성장성 믿고 보유 유지해야 할까?",analysis,like,"[""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A010,"[3652, 3653, 3657, 3661, 3663]",3657,"오늘의 삼성전자, 리스크 관리가 우선인 시점",analysis,like,[],null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A010,"[3652, 3653, 3657, 3661, 3663]",3661,"삼성전자, 단기 변동성 우려 속 내재가치 견조함",analysis,read,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_013_2026-05-28_2026-06-01,2026-05-28,2,A010,"[3652, 3653, 3657, 3661, 3663]",3663,오늘 삼성전자 일부 매도했습니다.,trade_share,unlike,[],null
