run_id,date,turn,rank,post_id,title,post_type,score
chunk_001_2026-02-27_2026-03-06,2026-02-27,2,1,2450,반도체 업황과 단기 리스크: 삼성전자 투자 관점,analysis,19
chunk_001_2026-02-27_2026-03-06,2026-02-27,2,2,2451,[매도 후기] 삼성전자 238주 매도했습니다.,trade_share,19
chunk_001_2026-02-27_2026-03-06,2026-02-27,2,3,2464,오늘 삼성전자 일부 매도했습니다!,trade_share,4
chunk_001_2026-02-27_2026-03-06,2026-02-27,2,4,2455,오늘 삼성전자 매도 거래 공유합니다!,trade_share,1
chunk_001_2026-02-27_2026-03-06,2026-02-27,2,5,2462,부분 매도 완료했습니다!,trade_share,1
chunk_001_2026-02-27_2026-03-06,2026-03-03,4,1,2473,"삼성전자, 20만원 심리적 지지선 이탈에 따른 리스크 관리 필요성",analysis,19
chunk_001_2026-02-27_2026-03-06,2026-03-03,4,2,2486,"삼성전자, 기술적 지지선 이탈 후의 고민",analysis,14
chunk_001_2026-02-27_2026-03-06,2026-03-03,4,3,2485,오늘 삼성전자 일부 매도했습니다.,trade_share,13
chunk_001_2026-02-27_2026-03-06,2026-03-03,4,4,2480,[분석] 삼성전자 하락 후 반등 가능성 및 기술적 지지선 확인 필요,analysis,2
chunk_001_2026-02-27_2026-03-06,2026-03-03,4,5,2472,"삼성전자, MA20 지지선 유지와 반등 모멘텀 확보에 대한 고찰",analysis,0
chunk_001_2026-02-27_2026-03-06,2026-03-04,6,1,2489,[분석] 삼성전자 MA20 이탈과 거시 악재의 영향,analysis,19
chunk_001_2026-02-27_2026-03-06,2026-03-04,6,2,2490,현재 삼성전자 주가 상황 및 향후 전망,analysis,15
chunk_001_2026-02-27_2026-03-06,2026-03-04,6,3,2495,"[시장 전망] 삼성전자, MA20 지지선 이탈과 지정학적 리스크 분석",analysis,13
chunk_001_2026-02-27_2026-03-06,2026-03-04,6,4,2493,지정학적 리스크와 기술적 약세에 대한 생각,analysis,2
chunk_001_2026-02-27_2026-03-06,2026-03-04,6,5,2505,지정학적 리스크와 삼성전자 주가 전망,analysis,2
chunk_001_2026-02-27_2026-03-06,2026-03-05,8,1,2509,"삼성전자, 급등 속 거래량 부진과 경쟁사 소식에 대한 고찰",analysis,19
chunk_001_2026-02-27_2026-03-06,2026-03-05,8,2,2513,[삼성전자] 단기 변동성 우려와 내재가치 관점 유지,analysis,19
chunk_001_2026-02-27_2026-03-06,2026-03-05,8,3,2523,"삼성전자, 급등 후 관망세 유지 필요성",analysis,19
chunk_001_2026-02-27_2026-03-06,2026-03-05,8,4,2525,"삼성전자, 반등과 경쟁 리스크에 대한 고민",analysis,5
chunk_001_2026-02-27_2026-03-06,2026-03-05,8,5,2507,오늘 삼성전자 소량 매수했습니다!,trade_share,0
chunk_001_2026-02-27_2026-03-06,2026-03-06,10,1,2542,삼성전자 실적 전망 및 매수 타이밍에 대한 고민,analysis,18
chunk_001_2026-02-27_2026-03-06,2026-03-06,10,2,2543,"삼성전자, 내재가치는 여전하지만 단기 리스크 주의 필요",analysis,17
chunk_001_2026-02-27_2026-03-06,2026-03-06,10,3,2528,오늘 삼성전자 소량 매수했습니다,trade_share,2
chunk_001_2026-02-27_2026-03-06,2026-03-06,10,4,2536,S26와 메모리 슈퍼사이클로 인한 삼성전자 내재가치 확신 강화,analysis,0
chunk_001_2026-02-27_2026-03-06,2026-03-06,10,5,2532,오늘 삼성전자 17주 매수했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-09,2,1,2552,"삼성전자, 단기 하락세 지속할까?",analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-09,2,2,2553,삼성전자 단기 하락 추세 분석 및 리스크 관리,analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-09,2,3,2563,현재 삼성전자 주가 하락의 원인과 향후 전망,analysis,6
chunk_002_2026-03-09_2026-03-13,2026-03-09,2,4,2562,삼성전자 단기 하락세와 중장기 전망에 대한 생각,analysis,2
chunk_002_2026-03-09_2026-03-13,2026-03-09,2,5,2547,오늘 삼성전자 소량 매수했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-10,4,1,2568,삼성전자 기술적 분석 및 거래량 부진 우려,analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-10,4,2,2581,"삼성전자, 외국인 매수세와 밸류에이션 부담의 경계",analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-10,4,3,2582,삼성전자 상승 추세와 거래량 감소에 대한 고찰,analysis,15
chunk_002_2026-03-09_2026-03-13,2026-03-10,4,4,2576,삼성전자 MA20 돌파와 HBM4 호재 분석,analysis,1
chunk_002_2026-03-09_2026-03-13,2026-03-10,4,5,2586,"삼성전자, 상승 추세 전환의 기회인가?",analysis,0
chunk_002_2026-03-09_2026-03-13,2026-03-11,6,1,2587,"삼성전자, 저평가가 여전히 유효하지만 신중한 접근 필요",analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-11,6,2,2588,"삼성전자, 저평가 구간 지속과 변동성 우려",analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-11,6,3,2592,삼성전자 거래량 위축과 단기 조정 리스크에 대한 생각,analysis,19
chunk_002_2026-03-09_2026-03-13,2026-03-11,6,4,2590,현재 삼성전자 주가에 대한 기술적 분석과 시장 전망,analysis,5
chunk_002_2026-03-09_2026-03-13,2026-03-11,6,5,2593,"삼성전자, 수출 호조 속 불확실한 밸류에이션 데이터",analysis,2
chunk_002_2026-03-09_2026-03-13,2026-03-12,8,1,2613,[거래 공유] 삼성전자 일부 매도했습니다.,trade_share,19
chunk_002_2026-03-09_2026-03-13,2026-03-12,8,2,2623,[분석] 삼성전자 추가 매수와 단기 변동성 관리,analysis,6
chunk_002_2026-03-09_2026-03-13,2026-03-12,8,3,2612,오늘 삼성전자 추가 매수했습니다!,trade_share,1
chunk_002_2026-03-09_2026-03-13,2026-03-12,8,4,2607,오늘 삼성전자 20주 매수했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-12,8,5,2614,오늘 삼성전자 10주 매수했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-13,10,1,2640,현재 삼성전자 주가 흐름에 대한 기술적 분석 및 향후 전망,analysis,17
chunk_002_2026-03-09_2026-03-13,2026-03-13,10,2,2637,오늘 삼성전자 일부 매도했습니다.,trade_share,14
chunk_002_2026-03-09_2026-03-13,2026-03-13,10,3,2627,오늘 삼성전자 추가 매수했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-13,10,4,2629,삼성전자 저평가 매수 진행했습니다!,trade_share,0
chunk_002_2026-03-09_2026-03-13,2026-03-13,10,5,2631,오늘 삼성전자 8주 매수했습니다!,trade_share,0
chunk_003_2026-03-16_2026-03-20,2026-03-16,2,1,2664,오늘 삼성전자 수익 실현했습니다!,trade_share,15
chunk_003_2026-03-16_2026-03-20,2026-03-16,2,2,2648,오늘 삼성전자 일부 매도했습니다!,trade_share,13
chunk_003_2026-03-16_2026-03-20,2026-03-16,2,3,2666,삼성전자 실적 호재와 환율 리스크에 대한 고민,analysis,9
chunk_003_2026-03-16_2026-03-20,2026-03-16,2,4,2650,오늘 삼성전자 일부 매도했습니다!,trade_share,9
chunk_003_2026-03-16_2026-03-20,2026-03-16,2,5,2656,오늘 삼성전자 매도 진행했습니다.,trade_share,5
