run_id,date,turn,subturn,stock_code,agent_id,source_ltb_id,source_stb_id,analysis_id,decision_id,fill_id,post_fill_ltb_id,action,quantity,executed_price,fee,status
simulation_20260730_141747_450867_68176,2026-02-27,1,am,005930,A001,ltb_A001_t000,stb_A001_t001,analysis_A001_t001,decision_A001_t001,fill_A001_t001,ltb_A001_t001,buy,10,210000.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-02-27,1,am,005930,A002,ltb_A002_t000,stb_A002_t001,analysis_A002_t001,decision_A002_t001,fill_A002_t001,ltb_A002_t001,buy,10,210000.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-02-27,1,am,005930,A003,ltb_A003_t000,stb_A003_t001,analysis_A003_t001,decision_A003_t001,fill_A003_t001,ltb_A003_t001,buy,10,210000.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-02-27,2,pm,005930,A001,ltb_A001_t001,stb_A001_t002,analysis_A001_t002,decision_A001_t002,fill_A001_t002,ltb_A001_t002,buy,10,216500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-02-27,2,pm,005930,A002,ltb_A002_t001,stb_A002_t002,analysis_A002_t002,decision_A002_t002,fill_A002_t002,ltb_A002_t002,buy,10,216500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-02-27,2,pm,005930,A003,ltb_A003_t001,stb_A003_t002,analysis_A003_t002,decision_A003_t002,fill_A003_t002,ltb_A003_t002,buy,10,216500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,3,am,005930,A001,ltb_A001_t002,stb_A001_t003,analysis_A001_t003,decision_A001_t003,fill_A001_t003,ltb_A001_t003,buy,10,209500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,3,am,005930,A002,ltb_A002_t002,stb_A002_t003,analysis_A002_t003,decision_A002_t003,fill_A002_t003,ltb_A002_t003,buy,10,209500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,3,am,005930,A003,ltb_A003_t002,stb_A003_t003,analysis_A003_t003,decision_A003_t003,fill_A003_t003,ltb_A003_t003,buy,10,209500.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,4,pm,005930,A001,ltb_A001_t003,stb_A001_t004,analysis_A001_t004,decision_A001_t004,fill_A001_t004,ltb_A001_t004,buy,10,195100.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,4,pm,005930,A002,ltb_A002_t003,stb_A002_t004,analysis_A002_t004,decision_A002_t004,fill_A002_t004,ltb_A002_t004,buy,10,195100.0,0.0,filled
simulation_20260730_141747_450867_68176,2026-03-03,4,pm,005930,A003,ltb_A003_t003,stb_A003_t004,analysis_A003_t004,decision_A003_t004,fill_A003_t004,ltb_A003_t004,buy,10,195100.0,0.0,filled
