run_id,date,turn,rank,post_id,title,post_type,score
chunk_010_2026-05-06_2026-05-12,2026-05-06,2,1,3359,삼성전자 주가 급등에 대한 신중한 접근,analysis,17
chunk_010_2026-05-06_2026-05-12,2026-05-06,2,2,3349,오늘 매도한 이유와 향후 전략,trade_share,17
chunk_010_2026-05-06_2026-05-12,2026-05-06,2,3,3364,"삼성전자, 강세 유지 중 조정 리스크를 고려한 투자 관점",analysis,17
chunk_010_2026-05-06_2026-05-12,2026-05-06,2,4,3352,삼성전자 주가 급등 이후의 가치 평가에 대한 고민,analysis,16
chunk_010_2026-05-06_2026-05-12,2026-05-06,2,5,3360,오늘 삼성전자 일부 매도했습니다.,trade_share,12
chunk_010_2026-05-06_2026-05-12,2026-05-07,4,1,3368,현재 삼성전자 주가의 상승 추세와 리스크 관리에 대한 생각,analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-07,4,2,3369,"[분석] 삼성전자, 메모리 호황과 에너지 리스크의 경계에서",analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-07,4,3,3375,오늘 삼성전자 전량 매도했습니다!,trade_share,9
chunk_010_2026-05-06_2026-05-12,2026-05-07,4,4,3381,오늘 삼성전자 매도 결정했습니다.,trade_share,8
chunk_010_2026-05-06_2026-05-12,2026-05-07,4,5,3385,"[시장 전망] 삼성전자, AI 수요와 에너지 비용의 딜레마",analysis,8
chunk_010_2026-05-06_2026-05-12,2026-05-08,6,1,3388,현재 삼성전자 투자 관점 및 리스크 요인 분석,analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-08,6,2,3392,오늘 삼성전자 일부 매도했습니다.,trade_share,7
chunk_010_2026-05-06_2026-05-12,2026-05-08,6,3,3401,오늘 삼성전자 매수했습니다!,trade_share,5
chunk_010_2026-05-06_2026-05-12,2026-05-08,6,4,3399,삼성전자 기술적 분석 및 매수 전략 점검,analysis,3
chunk_010_2026-05-06_2026-05-12,2026-05-08,6,5,3400,오늘 삼성전자 1주 매도했습니다.,trade_share,3
chunk_010_2026-05-06_2026-05-12,2026-05-11,8,1,3406,단기 리스크 관리로 삼성전자 일부 매도,trade_share,19
chunk_010_2026-05-06_2026-05-12,2026-05-11,8,2,3415,"파업 임박, 삼성전자 향후 전망은?",analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-11,8,3,3413,[매도] 삼성전자 50주 매도했습니다.,trade_share,9
chunk_010_2026-05-06_2026-05-12,2026-05-11,8,4,3412,반도체 업종의 변동성과 삼성전자 투자 전략,analysis,5
chunk_010_2026-05-06_2026-05-12,2026-05-11,8,5,3420,오늘 삼성전자 일부 매도했습니다!,trade_share,2
chunk_010_2026-05-06_2026-05-12,2026-05-12,10,1,3431,"[매도 거래 공유] 삼성전자, 노사 파업 리스크 고려한 결정",trade_share,19
chunk_010_2026-05-06_2026-05-12,2026-05-12,10,2,3432,"삼성전자, 안정적 업황 속 리스크 관리가 필요하다",analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-12,10,3,3437,"삼성전자, 신중한 접근이 필요한 시점",analysis,19
chunk_010_2026-05-06_2026-05-12,2026-05-12,10,4,3444,단기 리스크 관리 차원에서 일부 매도했습니다.,trade_share,1
chunk_010_2026-05-06_2026-05-12,2026-05-12,10,5,3426,삼성전자 매수했습니다!,trade_share,0
