run_id,date,turn,subturn,stock_code,agent_id,action,quantity,executed_price,status
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A001,buy,50,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A002,buy,200,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A003,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A004,buy,250,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A005,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A006,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A007,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A008,buy,250,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A009,buy,100,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A010,buy,250,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A011,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A012,buy,100,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A013,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A014,buy,200,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A015,buy,200,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A016,buy,50,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A017,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A018,buy,250,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A019,buy,100,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A020,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A021,buy,100,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A022,buy,200,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A023,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A024,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A025,buy,200,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A026,buy,260,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A027,buy,261,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A028,buy,250,190900.0,filled
chunk_006_2026-04-06_2026-04-10,2026-04-06,1,am,005930,A029,buy,261,190900.0,filled
